Model,Test R²,Test RMSE,Test MAE,Train R²,R² Diff,Training Time (s)
Random Forest,0.9725853652164643,4.273184937668229,2.6470044540253332,0.9813997021458986,0.00881433692943423,7.012474
Gradient Boosting,0.9722403071399843,4.299993359857558,2.800177995374771,0.974033427580224,0.001793120440239715,9.899366
Decision Tree,0.970156118234408,4.4584932346085475,2.765410180665525,0.9741541504663156,0.0039980322319076445,0.134878
Ridge Regression,0.6670691142829214,14.89146755737769,11.608147899541128,0.6656207806015855,-0.0014483336813359005,0.016623
