Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP
Optimal_Temp_Distance,15.022522760798928,-0.09974911079768878,16.776509325118376
Soil_Quality,3.7314232684958304,0.3060859560831614,4.911690308703435
Temperature,3.3254029258085236,0.5312790425147129,3.9872880598177667
Humidity,3.1444714403071026,0.37636570936943275,3.6858152513315976
P_Balance,2.6556372619817488,0.5683599078867244,3.7977186617190997
Crop_Type_Rice,1.2800514836715198,-0.10406560648720936,2.9349906575005478
Temp_Level,0.44374466821510583,0.06167728802893077,0.6230526960629591
P,0.4016137830031938,-0.0025225698770455613,0.7933764710734793
N,0.3367478743636635,0.0411588384676298,0.7765530965680156
NPK_Ratio_NP,0.33357745580858633,0.01616318388376615,0.7473568598538247
K,0.13935058587129334,0.01426098575836373,0.19970927622941706
Wind_Temp_Effect,0.1199957673843695,0.020561832811083626,0.18280524088347333
Crop_Type_Tomato,0.09551869986124678,0.016222852832875553,0.2075720889828075
Month,0.08653754681772018,0.029321205302347136,0.1302431071829918
Soil_Type_Peaty,0.07338398804185578,-0.009497219928048148,0.13206266497576377
NPK_Ratio_PK,0.07046827459696163,0.004700521861056232,0.15435826210913062
Soil_Type_Loamy,0.06291662269466995,0.018852594407480452,0.14683300219371792
NPK_Ratio_NK,0.05190204160480144,-0.008042398360049732,0.09768236789615406
pH_Optimality,0.04665468878519895,0.008282069879732075,0.08889413745092159
Crop_Type_Sugarcane,0.04222536717735349,0.00934816992597059,0.11200796946193331
Crop_Type_Corn,0.03791220810889558,0.004271240908238638,0.10248622257136998
Season_Winter,0.02337937717075786,0.0009146282150297288,0.048575413776258194
Season_Spring,0.020467311974378642,-0.0029474631645644523,0.05308426445409859
Crop_Type_Potato,0.012441144674527319,0.004476570283574686,0.05423565529522811
Crop_Type_Wheat,0.010970939021583302,-0.00018042335118790558,0.04942482817265633
Season_Summer,0.010050098331792445,-0.0013482345961492324,0.022946532219531995
Crop_Type_Cotton,0.00944057980349602,0.005499889591900374,0.027980213540281896
Soil_Type_Sandy,0.007534015362143705,0.0013031110589355147,0.019410133599987143
Crop_Type_Sunflower,0.005825951397510152,-0.00055392883881872,0.017844719695131874
Soil_Type_Saline,0.00415305809453261,-0.00046340399943930614,0.007180944231577924
Crop_Type_Soybean,0.003599988128004422,-0.0005397205431386644,0.00977555944673217
